# Time (s),Longitudinal moment of inertia (kg·m²),,,,Corrective Moment Coefficient (),C2r,C2r (Aerodynamic),C2,DR,Air temperature (K),Air pressure (mbar),Exhaust Velocity () / Tail Velocity,CP location (cm),CG location (cm),CP NEW(m),CG NEW (m),mass flow rate,Total velocity (m/s),Total acceleration (m/s²),Mass (g),Normal force coefficient (​),,# Angle of attack (°),Reference area (cm²)
0.02,1.44,,,,Rest,Rest,Rest,Rest,Rest,288.15,"1,013.25",0.00,NaN,122.35,NaN,NaN,0.47,0.06,3.18,"5,961.14",NaN,,88.322,67.137
4.983,1.202,,,,413.67,0.02,5.19,5.21,0.12,279.90,870.06,"1,951.57",146.37,114.68,1.46,1.15,0.23,333.27,51.00,"4,402.30",0.03,,0.158,67.137
5.008,1.202,,,,374.77,0.02,0.81,0.83,0.02,279.84,869.17,"1,951.57",146.59,114.67,1.47,1.15,0.22,331.98,50.95,"4,401.30",0.00,,0.027,67.137
5.046,1.202,,,,408.71,0.02,4.54,4.56,0.10,279.76,867.84,"1,951.57",146.32,114.66,1.46,1.15,0.22,330.05,50.88,"4,400.15",0.02,,0.141,67.137
5.07,1.202,,,,411.27,0.02,5.85,5.88,0.13,279.71,866.99,"1,951.57",146.20,114.66,1.46,1.15,0.22,328.80,50.98,"4,399.46",0.03,,0.182,67.137
5.092,1.202,,,,409.71,0.02,3.72,3.74,0.08,279.66,866.22,"1,951.57",146.30,114.65,1.46,1.15,0.22,327.67,50.92,"4,398.83",0.02,,0.116,67.137
5.126,1.201,,,,424.48,0.02,1.96,1.98,0.04,279.59,865.06,"1,951.57",146.37,114.65,1.46,1.15,0.21,325.96,50.74,"4,397.89",0.01,,0.059,67.137
5.176,1.201,,,,400.08,0.02,2.51,2.53,0.06,279.49,863.34,"1,951.57",146.26,114.64,1.46,1.15,0.21,323.42,50.51,"4,396.47",0.01,,0.081,67.137
5.204,1.201,,,,393.46,0.02,1.73,1.75,0.04,279.43,862.36,"1,951.57",146.28,114.63,1.46,1.15,0.21,321.96,50.67,"4,395.66",0.01,,0.057,67.137
5.247,1.201,,,,391.90,0.02,2.28,2.30,0.05,279.34,860.90,"1,951.57",146.19,114.63,1.46,1.15,0.21,319.78,50.46,"4,394.53",0.01,,0.076,67.137
5.294,1.201,,,,382.80,0.02,2.44,2.46,0.06,279.24,859.32,"1,951.57",146.12,114.62,1.46,1.15,0.20,317.42,50.28,"4,393.62",0.01,,0.084,67.137
5.331,1.201,,,,375.37,0.02,0.17,0.19,0.00,279.16,858.06,"1,951.57",146.23,114.62,1.46,1.15,0.20,315.53,50.22,"4,392.89",0.00,,0.006,67.137
